"lotr" "premium" "age" "genre_likes" "actor_likes" "similar_user_ratings" "mean_time_genre" "user_time" "user_day" "user_device" "fam_members" "country"
0 "Standard" 30 1 0 0.65 153.6 "Morning" "Saturday" "PC" 3 "FR"
0 "Standard" 26 1 1 0.37 84.5 "Afternoon" "Wednesday" "TV" 2 "DE"
0 "Standard" 27 1 3 0.17 129.1 "Evening" "Sunday" "TV" 2 "US"
0 "Premium" 39 4 2 0.31 102.6 "Evening" "Monday" "TV" 2 "US"
0 "Premium" 37 2 1 0.69 237.9 "Afternoon" "Monday" "TV" 1 "UK"
0 "Standard" 37 6 4 0.5 130.7 "Afternoon" "Thursday" "TV" 5 "FR"
0 "Standard" 43 2 5 0.68 69.9 "Evening" "Sunday" "Mobile Device" 1 "MX"
1 "Standard" 40 3 2 0.92 134.4 "Evening" "Saturday" "Gaming Device" 2 "UK"
0 "Premium" 36 0 1 0.57 59.2 "Evening" "Wednesday" "TV" 2 "US"
0 "Standard" 38 3 0 0.47 53 "Evening" "Sunday" "TV" 4 "DE"
0 "Standard" 29 3 3 0.65 5.1 "Evening" "Monday" "Gaming Device" 2 "DE"
0 "Standard" 38 1 1 0.64 98.2 "Evening" "Friday" "TV" 1 "FR"
0 "Standard" 36 3 2 0.59 43.1 "Afternoon" "Saturday" "TV" 1 "US"
0 "Standard" 32 2 5 0.36 93.9 "Afternoon" "Saturday" "TV" 1 "NZ"
0 "Standard" 42 1 4 0.81 64.4 "Evening" "Tuesday" "TV" 1 "FR"
0 "Standard" 26 3 4 0.54 149 "Evening" "Monday" "TV" 2 "MX"
0 "Standard" 19 2 2 0.6 199.8 "Evening" "Sunday" "Mobile Device" 2 "US"
0 "Standard" 19 1 1 0.83 81.7 "Afternoon" "Thursday" "TV" 3 "US"
0 "Standard" 29 0 5 0.38 90 "Afternoon" "Monday" "TV" 4 "UK"
1 "Standard" 37 6 4 0.96 131.9 "Evening" "Monday" "TV" 0 "FR"
1 "Standard" 42 3 3 0.79 85.9 "Afternoon" "Sunday" "TV" 1 "MX"
0 "Standard" 22 0 5 0.93 108.4 "Evening" "Sunday" "PC" 4 "FR"
1 "Standard" 42 2 3 0.7 103.4 "Morning" "Saturday" "PC" 2 "FR"
1 "Standard" 51 3 9 0.9 82.6 "Afternoon" "Friday" "TV" 1 "UK"
1 "Premium" 40 2 1 0.98 56.4 "Evening" "Monday" "TV" 4 "US"
0 "Standard" 19 1 0 0.14 120.1 "Evening" "Friday" "TV" 0 "MX"
1 "Premium" 42 1 6 0.73 105.5 "Morning" "Sunday" "Gaming Device" 1 "FR"
0 "Premium" 34 3 1 0.75 176.4 "Evening" "Saturday" "Gaming Device" 1 "US"
0 "Premium" 24 2 1 0.68 65.9 "Afternoon" "Sunday" "PC" 1 "US"
0 "Premium" 35 2 1 0.71 122.3 "Afternoon" "Thursday" "TV" 2 "UK"
1 "Premium" 35 2 4 0.93 180.5 "Evening" "Sunday" "TV" 0 "MX"
0 "Standard" 30 2 0 0.61 130.6 "Evening" "Wednesday" "Mobile Device" 4 "UK"
0 "Standard" 26 2 3 0.43 126.8 "Afternoon" "Wednesday" "TV" 2 "UK"
1 "Standard" 39 1 3 0.9 161.7 "Evening" "Monday" "TV" 2 "MX"
0 "Premium" 25 2 2 0.42 120.7 "Evening" "Friday" "TV" 4 "DE"
0 "Standard" 54 2 1 0.54 116.4 "Afternoon" "Sunday" "PC" 4 "MX"
0 "Standard" 23 2 3 0.77 17.6 "Evening" "Tuesday" "PC" 1 "MX"
0 "Standard" 55 0 4 0.46 38.2 "Afternoon" "Friday" "TV" 1 "UK"
0 "Standard" 40 4 3 0.89 118 "Evening" "Wednesday" "TV" 2 "US"
0 "Standard" 30 0 2 0.76 46.8 "Evening" "Sunday" "TV" 6 "MX"
0 "Premium" 39 2 3 0.1 155.6 "Evening" "Friday" "TV" 1 "FR"
0 "Premium" 21 2 4 0.71 90.7 "Evening" "Saturday" "PC" 3 "US"
0 "Standard" 27 0 2 0.7 140.8 "Evening" "Friday" "TV" 3 "NZ"
