"Species" "Biomass" "pH"
9 2.2 "low"
10 1.6 "low"
15 1 "low"
9 1.4 "low"
7 4.9 "low"
8 3.9 "low"
7 3.9 "low"
6 6.5 "low"
13 0.3 "low"
14 1.9 "low"
12 1.7 "low"
11 2 "low"
12 3.3 "low"
14 2.8 "low"
5 4.5 "low"
11 1.3 "low"
13 3.6 "low"
10 1.6 "low"
15 3 "low"
9 0.7 "low"
11 3.2 "low"
13 1.2 "low"
14 2 "low"
14 1.4 "low"
12 2.8 "low"
10 2 "low"
5 4.6 "low"
7 5.8 "low"
3 11.1 "low"
11 5.3 "low"
28 0.7 "mid"
18 2.1 "mid"
36 0.9 "mid"
31 0.8 "mid"
24 1 "mid"
16 3.3 "mid"
23 3.4 "mid"
17 2.2 "mid"
30 1.6 "mid"
18 1.3 "mid"
21 1.9 "mid"
24 1.4 "mid"
2 13.6 "mid"
36 1.1 "mid"
20 1.1 "mid"
19 3.4 "mid"
7 10.7 "mid"
28 1.3 "mid"
33 1.7 "mid"
18 2.1 "mid"
16 1.7 "mid"
18 2 "mid"
18 1 "mid"
33 0.6 "mid"
22 3.3 "mid"
12 5.1 "mid"
15 4.6 "mid"
21 1.7 "mid"
27 0.9 "mid"
18 2.1 "mid"
35 2.2 "high"
33 0.9 "high"
34 4.2 "high"
32 1 "high"
36 2.1 "high"
42 2.1 "high"
26 2.9 "high"
24 1.9 "high"
18 4 "high"
33 2.2 "high"
32 2 "high"
30 2 "high"
39 0.9 "high"
40 1.9 "high"
23 3.7 "high"
49 1.1 "high"
41 0.7 "high"
35 2.5 "high"
43 1.6 "high"
46 1 "high"
42 1.8 "high"
52 1.2 "high"
34 1.9 "high"
43 2.1 "high"
48 0.6 "high"
36 2.4 "high"
36 1.9 "high"
33 2.7 "high"
31 3 "high"
6 13 "high"
